"_id","close","closeTime","high","low","open","quoteAssetVolume","takerBuyBaseVolume","takerBuyQuoteVolume","trades","updatedAtLocal","volume"
"1751490000000","109441.80000000","1751493599999","109542.31000000","109130.01000000","109136.31000000","140106189.22997670","826.45062000","90320520.78576940","86847","2025-07-20T14:15:43.357Z","1281.72086000"
"1751493600000","109142.00000000","1751497199999","109498.91000000","109100.57000000","109441.79000000","73572943.68637590","150.14418000","16402193.23849560","72335","2025-07-20T14:15:43.357Z","673.30761000"
"1751497200000","108849.60000000","1751500799999","109170.42000000","108720.00000000","109142.00000000","84241334.97243270","276.98625000","30161486.82611960","73182","2025-07-20T14:15:43.357Z","773.59730000"
"1751500800000","108915.00000000","1751504399999","109115.03000000","108715.56000000","108849.59000000","53827623.59735590","290.90845000","31678297.39215160","97546","2025-07-20T14:15:43.357Z","494.29688000"
"1751504400000","108975.97000000","1751507999999","109111.00000000","108807.43000000","108915.00000000","41804726.82910100","196.99050000","21469405.33770350","68695","2025-07-20T14:15:43.357Z","383.58580000"
"1751508000000","108721.52000000","1751511599999","108975.97000000","108530.40000000","108975.96000000","36457904.50996770","121.42974000","13195975.21746140","72007","2025-07-20T14:15:43.357Z","335.42231000"
"1751511600000","108628.21000000","1751515199999","108820.00000000","108620.25000000","108721.52000000","24644944.79245270","95.47642000","10380385.63595860","53026","2025-07-20T14:15:43.357Z","226.69063000"
"1751515200000","108790.00000000","1751518799999","109000.01000000","108566.14000000","108628.20000000","31907443.23317020","153.96362000","16758889.90309610","51019","2025-07-20T14:15:43.357Z","293.13317000"
"1751518800000","109340.37000000","1751522399999","109381.12000000","108790.00000000","108790.00000000","49398971.27760090","267.40399000","29189747.50351280","78709","2025-07-20T14:15:43.357Z","452.51528000"
"1751522400000","109478.94000000","1751525999999","109548.00000000","109237.85000000","109340.37000000","40797512.05649310","177.82479000","19456303.18172390","69305","2025-07-20T14:15:43.357Z","372.89912000"
"1751526000000","109280.00000000","1751529599999","109478.95000000","109146.20000000","109478.95000000","48306462.85283190","228.16199000","24932455.84618100","54432","2025-07-20T14:15:43.357Z","442.04211000"
"1751529600000","109377.57000000","1751533199999","109580.00000000","109279.99000000","109279.99000000","61078798.27979570","287.57990000","31481712.01819940","66392","2025-07-20T14:15:43.357Z","557.97387000"
"1751533200000","109942.20000000","1751536799999","110273.21000000","109377.57000000","109377.57000000","197013815.93203900","1246.93988000","137092057.46836470","171912","2025-07-20T14:15:43.357Z","1791.81347000"
"1751536800000","109839.37000000","1751540399999","110000.00000000","109628.08000000","109942.19000000","70740903.98088570","377.05306000","41406458.91178240","105759","2025-07-20T14:15:43.357Z","644.21123000"
"1751540400000","109599.19000000","1751543999999","109839.38000000","109584.61000000","109839.38000000","28029728.85849260","116.70109000","12800173.18714470","54713","2025-07-20T14:15:43.357Z","255.55023000"
"1751544000000","109167.99000000","1751547599999","109916.00000000","108749.99000000","109599.18000000","120499117.87195810","542.75902000","59318185.89104890","221075","2025-07-20T14:15:43.357Z","1102.71213000"
"1751547600000","110255.63000000","1751551199999","110529.18000000","109133.30000000","109168.00000000","159002024.49585310","884.94059000","97369892.19904870","314774","2025-07-20T14:15:43.357Z","1445.48707000"
"1751551200000","109718.57000000","1751554799999","110499.60000000","109560.00000000","110255.64000000","109961273.88836750","450.81470000","49637792.19780000","284376","2025-07-20T14:15:43.357Z","999.03383000"
"1751554800000","109127.84000000","1751558399999","109833.30000000","109107.00000000","109718.57000000","71585141.19635920","274.18786000","29992491.02855200","203998","2025-07-20T14:15:43.357Z","654.49287000"
"1751558400000","109288.46000000","1751561999999","109683.19000000","109020.80000000","109127.85000000","63904102.19345890","276.37485000","30206349.11188760","170730","2025-07-20T14:15:43.357Z","584.75038000"
"1751562000000","109556.00000000","1751565599999","109655.70000000","109278.41000000","109288.47000000","44968304.18689550","220.21194000","24108734.95522430","73803","2025-07-20T14:15:43.357Z","410.71077000"
"1751565600000","109678.75000000","1751569199999","109721.51000000","109332.10000000","109556.00000000","31219437.82573040","122.39040000","13410046.09876640","74588","2025-07-20T14:15:43.357Z","284.97474000"
"1751569200000","109803.41000000","1751572799999","109910.10000000","109638.01000000","109678.75000000","44794353.44161190","279.73071000","30711206.06169230","89922","2025-07-20T14:15:43.357Z","408.00794000"
"1751572800000","109947.11000000","1751576399999","109947.11000000","109772.37000000","109803.41000000","20648846.78636640","94.05284000","10333678.56503190","49055","2025-07-20T14:15:43.357Z","187.94195000"
"1751576400000","109788.00000000","1751579999999","110000.00000000","109687.59000000","109947.10000000","28731455.66057730","108.23375000","11883891.39289740","64630","2025-07-20T14:15:43.357Z","261.66349000"
"1751580000000","109699.17000000","1751583599999","109874.69000000","109650.94000000","109787.99000000","21421856.26769480","81.09156000","8899125.09229630","44783","2025-07-20T14:15:43.357Z","195.20120000"
"1751583600000","109584.78000000","1751587199999","109820.00000000","109510.00000000","109699.17000000","28714298.62326660","66.67521000","7308893.71415110","33695","2025-07-20T14:15:43.357Z","261.97178000"
"1751587200000","109478.94000000","1751590799999","109708.04000000","109384.38000000","109584.77000000","25721883.19845470","111.96267000","12268983.64951390","58519","2025-07-20T14:15:43.357Z","234.74780000"
"1751590800000","109500.01000000","1751594399999","109767.59000000","109445.86000000","109478.94000000","22854639.18758410","96.05711000","10526307.03586980","65321","2025-07-20T14:15:43.357Z","208.55945000"
"1751594400000","109180.54000000","1751597999999","109500.01000000","109103.71000000","109500.01000000","33068120.38627030","103.36305000","11292972.64192760","74007","2025-07-20T14:15:43.357Z","302.62270000"
"1751598000000","109235.57000000","1751601599999","109373.08000000","109119.23000000","109180.54000000","28051868.97104750","128.96295000","14089525.51242070","46025","2025-07-20T14:15:43.357Z","256.79241000"
"1751601600000","108982.59000000","1751605199999","109329.60000000","108950.00000000","109235.58000000","39731051.94733660","119.31068000","13022993.31273020","52009","2025-07-20T14:15:43.357Z","364.12630000"
"1751605200000","109012.00000000","1751608799999","109204.08000000","108921.00000000","108982.59000000","37671554.06225160","146.81925000","16015123.60265950","74513","2025-07-20T14:15:43.357Z","345.38756000"
"1751608800000","109025.99000000","1751612399999","109028.98000000","108804.00000000","109012.00000000","30488357.51332180","108.17639000","11783783.87006280","56695","2025-07-20T14:15:43.357Z","279.91071000"
"1751612400000","108700.00000000","1751615999999","109144.33000000","108700.00000000","109026.00000000","67440821.53964710","228.35153000","24858034.29685240","83370","2025-07-20T14:15:43.357Z","619.63648000"
"1751616000000","108763.28000000","1751619599999","108892.00000000","108518.83000000","108700.00000000","43217995.04251720","193.40544000","21030053.68387240","69730","2025-07-20T14:15:43.357Z","397.51798000"
"1751619600000","108997.59000000","1751623199999","109070.00000000","108763.28000000","108763.29000000","31669645.16609730","148.47326000","16174522.46632470","59313","2025-07-20T14:15:43.357Z","290.69348000"
"1751623200000","108899.74000000","1751626799999","109067.06000000","108865.38000000","108997.60000000","23195292.32188880","96.24046000","10487712.63744980","41594","2025-07-20T14:15:43.357Z","212.83251000"
"1751626800000","108888.00000000","1751630399999","109111.00000000","108856.00000000","108899.73000000","20203308.47128350","70.61915000","7697256.66381520","43388","2025-07-20T14:15:43.357Z","185.34724000"
"1751630400000","108731.79000000","1751633999999","108978.64000000","108611.53000000","108888.00000000","26614198.14521230","114.36269000","12443722.54912810","56038","2025-07-20T14:15:43.357Z","244.59870000"
"1751634000000","107970.23000000","1751637599999","108856.49000000","107970.22000000","108731.80000000","103344247.73746900","365.19351000","39576844.36385640","169151","2025-07-20T14:15:43.357Z","953.81709000"
"1751637600000","107810.00000000","1751641199999","108110.75000000","107505.00000000","107970.22000000","146866873.61603500","680.54588000","73394100.78795950","233105","2025-07-20T14:15:43.357Z","1361.93370000"
"1751641200000","107573.29000000","1751644799999","107939.03000000","107573.28000000","107809.99000000","113759383.94711300","450.99599000","48604243.83692720","169677","2025-07-20T14:15:43.357Z","1055.73997000"
"1751644800000","107636.98000000","1751648399999","107750.01000000","107333.33000000","107573.29000000","152097292.54114170","471.01620000","50653910.85317400","187792","2025-07-20T14:15:43.357Z","1414.51590000"
"1751648400000","107875.37000000","1751651999999","107922.50000000","107632.00000000","107636.99000000","39296258.74353630","216.77507000","23373950.17378160","97249","2025-07-20T14:15:43.357Z","364.43679000"
"1751652000000","107489.23000000","1751655599999","107875.37000000","107489.23000000","107875.37000000","106693728.89718140","142.43833000","15343128.50931540","90364","2025-07-20T14:15:43.357Z","990.63968000"
"1751655600000","107469.23000000","1751659199999","107637.84000000","107245.00000000","107489.23000000","71123979.93506260","198.05680000","21272835.45990390","75390","2025-07-20T14:15:43.357Z","662.11075000"
"1751659200000","107692.01000000","1751662799999","107813.04000000","107440.63000000","107469.22000000","24617334.37526280","138.74224000","14938922.27707540","42593","2025-07-20T14:15:43.357Z","228.63195000"
"1751662800000","107911.20000000","1751666399999","107941.99000000","107689.91000000","107692.01000000","27578703.08589550","129.59778000","13970399.47925940","33521","2025-07-20T14:15:43.357Z","255.84136000"
"1751666400000","108254.95000000","1751669999999","108279.33000000","107886.84000000","107911.19000000","40480258.12107210","251.35121000","27174573.82852020","60315","2025-07-20T14:15:43.357Z","374.41630000"
"1751670000000","107984.24000000","1751673599999","108254.96000000","107958.00000000","108254.95000000","20428314.71568300","76.98058000","8319325.47435590","35533","2025-07-20T14:15:43.357Z","189.00934000"
"1751673600000","108196.01000000","1751677199999","108224.56000000","107955.07000000","107984.25000000","19758330.54719410","109.98454000","11893423.48655160","35520","2025-07-20T14:15:43.357Z","182.76266000"
"1751677200000","107981.13000000","1751680799999","108196.01000000","107894.61000000","108196.00000000","16028242.98930970","71.33065000","7702361.55784730","34627","2025-07-20T14:15:43.357Z","148.43092000"
"1751680800000","108067.87000000","1751684399999","108095.59000000","107756.31000000","107981.14000000","26572195.96222640","134.73434000","14542806.41997610","40856","2025-07-20T14:15:43.357Z","246.24667000"
"1751684400000","108154.72000000","1751687999999","108259.99000000","108067.87000000","108067.88000000","20465949.95949140","120.71354000","13057339.69105550","35241","2025-07-20T14:15:43.357Z","189.19760000"
"1751688000000","108137.66000000","1751691599999","108420.56000000","108032.00000000","108154.72000000","18559635.57186310","94.79075000","10257484.89200020","37789","2025-07-20T14:15:43.357Z","171.53463000"
"1751691600000","108125.63000000","1751695199999","108166.31000000","108000.00000000","108137.65000000","15968444.21624910","52.76710000","5703118.69562660","32254","2025-07-20T14:15:43.357Z","147.73340000"
"1751695200000","108270.82000000","1751698799999","108287.48000000","108059.71000000","108125.63000000","19820218.26780900","57.76089000","6249663.04146310","35020","2025-07-20T14:15:43.357Z","183.20807000"
